date,Usage_kWh,Lagging_Current_Reactive.Power_kVarh,Leading_Current_Reactive_Power_kVarh,CO2(tCO2),Lagging_Current_Power_Factor,Leading_Current_Power_Factor,NSM,WeekStatus,Day_of_week,Load_Type
,0.7401301420264597,2.2982308219178083,-9.557202342380664,-2.0734415213593502,,88.65626239938828,898.766426765717,Weekday,Monday,Light_Load
,,,6.012130273169494,,62.741097188926936,100.96123705818547,1795.531830051106,Weekday,Monday,Light_Load
,,2.628230821917808,10.497461141954524,,66.25109718892693,90.88075586468872,2715.267065153794,Weekday,Monday,Light_Load
01/01/2018 01:00,3.820810149565041,2.908230821917808,,-17.68317466788472,,86.42524939797062,,,Monday,Light_Load
01/01/2018 01:15,4.080329401479749,3.848230821917808,-2.531261497482145,10.329537254982649,,97.96974578634328,4499.247171370181,,Monday,Light_Load
01/01/2018 01:30,3.781744161827631,2.908230821917808,8.547086677449187,11.067792294667557,63.73109718892695,87.24862544118514,5406.23088602068,Weekday,Monday,Light_Load
01/01/2018 01:45,0.8733448788067921,,-15.204996310125276,-6.143595600794496,61.59109718892695,94.91097714735156,,Weekday,,Light_Load
,1.754764225602678,3.628230821917808,,2.939828574187504,60.34109718892695,86.18154845958327,,Weekday,Monday,Light_Load
01/01/2018 02:15,2.6058563500853498,,,15.584947862437046,,93.24370186369332,8098.777996719615,Weekday,Monday,Light_Load
01/01/2018 02:30,1.4551257570776457,4.068230821917808,7.647466907299561,-4.388182312724823,58.48109718892694,100.64643084272367,,,Monday,Light_Load
01/01/2018 02:45,2.685512769934779,3.3782308219178083,-10.26568288606198,9.46092586538875,61.11109718892694,104.36103546764508,9916.456302144124,Weekday,Monday,Light_Load
01/01/2018 03:00,0.7617246681025445,2.988230821917808,,8.161665768418771,62.461097188926935,89.31553475329116,10788.811034040296,Weekday,,Light_Load
01/01/2018 03:15,2.669637506532525,4.318230821917808,20.56557790784349,18.782828399980545,58.29109718892694,96.3199376591379,,Weekday,,Light_Load
01/01/2018 03:30,1.4583336807035958,3.0882308219178083,-3.648269970075898,4.50666304185765,,91.23690914783012,12619.60980383302,Weekday,,Light_Load
01/01/2018 03:45,1.1147212516558835,3.198230821917808,9.744090646097565,-15.140591517553323,,101.28389610068405,13504.939500560457,,Monday,Light_Load
,2.0379127479342705,4.348230821917808,12.558407580717027,-12.06200835032394,57.37109718892694,98.53582181454304,14413.285621668145,Weekday,Monday,Light_Load
01/01/2018 04:15,2.8556680077157357,3.168230821917808,1.253228852007472,17.201866628287476,61.11109718892694,93.99900771856632,15284.718716958412,Weekday,Monday,Light_Load
01/01/2018 04:30,4.046449060393617,3.628230821917808,,-13.92224018789044,,85.95740737815976,16218.666069767612,Weekday,Monday,Light_Load
01/01/2018 04:45,2.438757952588453,3.888230821917808,,10.607172411094856,59.55109718892694,102.92506767390375,,Weekday,Monday,Light_Load
01/01/2018 05:00,1.7787317882165583,2.948230821917808,,9.867110967772389,63.65109718892695,94.622627666064,18009.562112218402,Weekday,,Light_Load
01/01/2018 05:15,2.32951660318386,3.4182308219178084,-6.191996020696722,1.5115880458329347,61.811097188926944,,,Weekday,Monday,Light_Load
01/01/2018 05:30,2.5208376574723546,3.448230821917808,10.549905028642783,2.9806343864659386,,,,,Monday,Light_Load
01/01/2018 05:45,3.182315678208778,2.8382308219178083,-9.541319439074226,-16.548360302570362,64.45109718892695,94.22581425460989,,Weekday,Monday,Light_Load
01/01/2018 06:00,1.1376142653952512,3.668230821917808,10.877302330887652,-6.588600476577136,61.821097188926935,89.74013446351526,21612.94448211148,Weekday,Monday,Light_Load
,1.3368985419595063,2.988230821917808,-17.219737050403726,-4.200110108208071,63.69109718892694,102.42450496324044,22513.935731727903,Weekday,,Light_Load
,2.8431261601603266,2.698230821917808,-8.069306565658032,-16.278933452951595,65.49109718892694,103.16888135745847,23381.30304011776,Weekday,Monday,Light_Load
01/01/2018 06:45,1.9228568998930309,3.808230821917808,,-7.228608145903486,61.701097188926944,104.66293632263552,24291.77994463095,Weekday,Monday,Light_Load
01/01/2018 07:00,,2.878230821917808,0.4861892154301434,-19.70416005305661,64.37109718892694,86.33739440537556,25203.82258565809,Weekday,,Light_Load
01/01/2018 07:15,,2.8382308219178083,-10.60122827513357,,64.45109718892695,92.68181354593526,26113.892792981376,Weekday,Monday,Light_Load
01/01/2018 07:30,1.3631406076013812,4.098230821917808,,-12.458455837755237,,,26983.648078319147,Weekday,Monday,Light_Load
,0.6206479988987432,2.948230821917808,6.235080816912501,-12.442525130856414,,92.31664268235494,27905.24834805093,,Monday,Light_Load
01/01/2018 08:00,0.1671674587662317,,15.946935729157186,5.613703986143244,61.851097188926936,101.82596729631037,28805.510819022264,Weekday,Monday,Light_Load
,2.5426097665042944,4.098230821917808,,,58.24109718892694,91.75484823709428,,Weekday,Monday,Light_Load
,,3.0882308219178083,12.430442279431286,14.53390416541376,61.91109718892694,93.83679906857824,30581.722781588443,Weekday,Monday,Light_Load
01/01/2018 08:45,2.31644381184684,,-4.30473945775488,-10.4396265309269,57.60109718892694,103.70792916969938,31509.441145194003,Weekday,Monday,Light_Load
01/01/2018 09:00,3.007148471664608,-0.6517691780821919,-0.8234785527583234,-0.7197496408327346,,26.439903386050627,32397.686140369417,Weekday,Monday,Light_Load
01/01/2018 09:15,2.271332356164696,,-14.785783466881616,-2.420180704324428,95.97109718892692,9.781322632780842,33290.26057761795,Weekday,Monday,Light_Load
01/01/2018 09:30,3.751234241347782,-0.6517691780821919,5.796074187527233,10.419094745032744,95.97109718892692,12.726195879105791,34197.63800033098,,Monday,Light_Load
01/01/2018 09:45,0.60413680621707,,,15.245660578516029,95.97109718892692,,35092.073847131265,Weekday,Monday,Light_Load
01/01/2018 10:00,,-0.6517691780821919,-14.120111141360924,-10.072177714718114,,18.931839540124848,36004.73353384617,Weekday,,Light_Load
01/01/2018 10:15,,-0.6517691780821919,15.444421130020404,-17.952322893440858,95.97109718892692,,36905.31485914866,Weekday,Monday,Light_Load
01/01/2018 10:30,,-0.6517691780821919,-14.14997034137812,13.103314458044077,95.97109718892692,16.82367526693443,37815.36609806189,Weekday,Monday,Light_Load
,3.651490263811975,-0.6517691780821919,,9.927597332521374,95.97109718892692,12.897495110039491,,,Monday,Light_Load
,4.408587469091225,,17.047707310468308,-10.987581590971295,95.97109718892692,19.28996938264865,39588.27073443566,Weekday,Monday,Light_Load
01/01/2018 11:15,1.7983432018120498,-0.6517691780821919,17.986323176055837,-8.538913231489099,95.97109718892692,41.1745037605205,40492.56855866596,Weekday,Monday,Light_Load
01/01/2018 11:30,3.915674011852346,-0.6517691780821919,-15.897717023953742,16.815982807796697,95.97109718892692,,41416.11329357265,,Monday,Light_Load
01/01/2018 11:45,2.945590626201122,-0.6517691780821919,19.67904212098097,3.3568193041111405,,51.18786871167578,42280.599894754094,Weekday,Monday,Light_Load
01/01/2018 12:00,0.4408970784614938,-0.6517691780821919,13.470663151078524,-11.183183120034776,,56.91428183284928,,Weekday,,Light_Load
01/01/2018 12:15,0.5569689734431225,-0.6517691780821919,-10.858092522191097,12.108240698433368,95.97109718892692,13.43338595918484,44091.29274817195,Weekday,Monday,Light_Load
01/01/2018 12:30,,-0.6517691780821919,-16.561529772413007,-2.663766649649379,95.97109718892692,21.059193030129503,44988.46938663749,Weekday,,Light_Load
01/01/2018 12:45,,-0.6517691780821919,-10.036656847545483,2.9866561272084486,95.97109718892692,7.445328636104385,,Weekday,Monday,Light_Load
01/01/2018 13:00,2.869045527641391,-0.6517691780821919,0.1567900084237532,-11.149021722458968,95.97109718892692,20.89623081275662,46794.88997531546,,Monday,Light_Load
01/01/2018 13:15,,-0.6517691780821919,-5.674216916886722,-1.1495079224284013,95.97109718892692,,47692.07549990188,Weekday,,Light_Load
01/01/2018 13:30,3.6773753130810407,-0.6517691780821919,,18.14880734202133,95.97109718892692,12.161386198328309,48603.53430827768,,Monday,Light_Load
01/01/2018 13:45,0.877484636221352,,5.716497479584075,,,18.07651292945566,49519.85526888431,Weekday,,Light_Load
01/01/2018 14:00,2.2850705567612644,-0.6517691780821919,-16.022520033813873,-13.334650305631923,95.97109718892692,11.79083801279431,50403.99803021896,,Monday,Light_Load
01/01/2018 14:15,1.514443194624799,-0.6517691780821919,-2.9362267382145952,-6.100648499473796,,14.638839796535322,51318.887431166855,Weekday,Monday,Light_Load
,1.496726214722904,-0.6517691780821919,-12.455601046730608,22.27011867555486,95.97109718892692,25.64999945149944,52194.42788201794,Weekday,Monday,Light_Load
01/01/2018 14:45,4.246699367703706,-0.6517691780821919,0.5704145823811875,11.961289459370256,,12.397668245517352,,Weekday,,Light_Load
